"","egoID","from.alter","alt.alt.tie","egoalt_relation","egoalt_relate_othr","alter.initial","to.alter"
"4106",1394,"139401",10,"1","","pa","139406"
"4107",1395,"139501",NA,"1","","cm","139506"
"4108",1399,"139901",NA,"1","","sc","139906"
"4109",1413,"141301",NA,"1","","d.f","141306"
"4110",1414,"141401",10,"1","","pj","141406"
"4111",1416,"141601",0,"7","","ae","141606"
"4112",1417,"141701",NA,"6","","pg","141706"
"4113",1419,"141901",0,"8","academic","cc","141906"
"4114",1420,"142001",NA,"4","","mc","142006"
"4115",1421,"142101",NA,"1","","ag","142106"
"4116",1422,"142201",NA,"1","","aj","142206"
"4117",1424,"142401",NA,"5","","cg","142406"
"4118",1425,"142501",2,"8","academic","sw","142506"
"4119",1426,"142601",5,"6","","kb","142606"
"4120",1427,"142701",NA,"1","","jl","142706"
"4121",1430,"143001",NA,"6","","mc","143006"
"4122",1431,"143101",NA,"5","","bb","143106"
"4123",1432,"143201",10,"1","","gb","143206"
"4124",1433,"143301",NA,"1","","nd","143306"
"4125",1434,"143401",NA,"1","","b.d.","143406"
"4126",1435,"143501",NA,"3","","es","143506"
"4127",1437,"143701",NA,"1","","mom","143706"
"4128",1438,"143801",NA,"8","academic","bb","143806"
"4129",1440,"144001",NA,"6","","lh","144006"
"4130",1441,"144101",0,"8","academic","kl","144106"
"4131",1443,"144301",NA,"1","","yd","144306"
"4132",1450,"145001",10,"8","academic","rg","145006"
"4133",1451,"145101",10,"1","","m.m.","145106"
"4134",1452,"145201",NA,"3","","jn","145206"
"4135",1453,"145301",NA,"1","","cj","145306"
"4136",1456,"145601",NA,"1","","tw","145606"
"4137",1457,"145701",NA,"1","","ta","145706"
"4138",1458,"145801",NA,"1","","m","145806"
"4139",1459,"145901",NA,"1","","cm","145906"
"4140",1460,"146001",10,"8","academic","rh","146006"
"4141",1462,"146201",10,"1","","ja","146206"
"4142",1463,"146301",NA,"1","","mb","146306"
"4143",1464,"146401",NA,"7","","hp","146406"
"4144",1466,"146601",NA,"1","","lc","146606"
"4145",1467,"146701",NA,"1","","sn","146706"
"4146",1468,"146801",NA,"1","","rf","146806"
"4147",1470,"147001",10,"1","","jl","147006"
"4148",1471,"147101",NA,"1","","te","147106"
"4149",1472,"147201",NA,"3","","aw","147206"
"4150",1476,"147601",NA,"1","","pz","147606"
"4151",1477,"147701",NA,"1","","ta","147706"
"4152",1479,"147901",9,"1","","jb","147906"
"4153",1480,"148001",NA,"1","","lh","148006"
"4154",1481,"148101",10,"1","","c.s","148106"
"4155",1483,"148301",0,"1","","b.r","148306"
"4156",1485,"148501",NA,"1","","km","148506"
"4157",1486,"148601",NA,"6","peer","mf","148606"
"4158",1487,"148701",10,"5","","dl","148706"
"4159",1488,"148801",NA,"1","","jb","148806"
"4160",1489,"148901",NA,"6","","w.s.","148906"
"4161",1491,"149101",NA,"8","academic","am","149106"
"4162",1492,"149201",NA,"1","","kl","149206"
"4163",1495,"149501",6,"1","","js","149506"
"4164",1496,"149601",0,"4","","hl","149606"
"4165",1498,"149801",10,"1","","kc","149806"
"4166",1499,"149901",NA,"1","","kd","149906"
"4167",1500,"150001",6,"4","","km","150006"
"4168",1501,"150101",NA,"6","","hr","150106"
"4169",1503,"150301",NA,"5","","cr","150306"
"4170",1505,"150501",NA,"3","","tb","150506"
"4171",1506,"150601",10,"1","","at","150606"
"4172",1508,"150801",NA,"1","","kl","150806"
"4173",1509,"150901",10,"1","","bb","150906"
"4174",1513,"151301",0,"1","","dm","151306"
"4175",1515,"151501",NA,"8","academic","ec","151506"
"4176",1517,"151701",NA,"1","","kg","151706"
"4177",1520,"152001",NA,"1","","mm","152006"
"4178",1528,"152801",NA,"5","","ja","152806"
"4179",1529,"152901",0,"8","academic","sr","152906"
"4180",1531,"153101",NA,"1","","ac","153106"
"4181",1533,"153301",NA,"4","","lb","153306"
"4182",1535,"153501",1,"1","","jg","153506"
"4183",1536,"153601",NA,"1","","vc","153606"
"4184",1538,"153801",NA,"8","academic","lb","153806"
"4185",1539,"153901",NA,"1","","sm","153906"
"4186",1540,"154001",6,"1","","jm","154006"
"4187",1542,"154201",NA,"1","","tb","154206"
"4188",1543,"154301",2,"1","","af","154306"
"4189",1544,"154401",7,"3","","sb","154406"
"4190",1546,"154601",NA,"1","","mm","154606"
"4191",1547,"154701",8,"4","","bb","154706"
"4192",1551,"155101",NA,"1","","lj","155106"
"4193",1552,"155201",NA,"1","","skg","155206"
"4194",1554,"155401",NA,"1","","sl","155406"
"4195",1555,"155501",NA,"1","","mom","155506"
"4196",1556,"155601",10,"1","","mom","155606"
"4197",1559,"155901",NA,"1","","tr","155906"
"4198",1562,"156201",NA,"8","academic","ap","156206"
"4199",1563,"156301",NA,"1","","cw","156306"
"4200",1564,"156401",NA,"1","","dp","156406"
"4201",1570,"157001",6,"1","","lg","157006"
"4202",1571,"157101",-6,"5","","kf","157106"
"4203",1573,"157301",-2,"5","","kf","157306"
"4204",1575,"157501",NA,"3","","kr","157506"
"4205",1578,"157801",0,"1","","ks","157806"
"4206",1580,"158001",NA,"1","","mom","158006"
"4207",1582,"158201",3,"8","academic","lm","158206"
"4208",1583,"158301",NA,"1","","sg","158306"
"4209",1584,"158401",NA,"1","","jm","158406"
"4210",1589,"158901",NA,"1","","ac","158906"
"4211",1603,"160301",0,"1","","kd","160306"
"4212",1604,"160401",7,"1","","jg","160406"
"4213",1605,"160501",NA,"1","","tc","160506"
"4214",1607,"160701",10,"3","","ar","160706"
"4215",1610,"161001",4,"1","","ar","161006"
"4216",1613,"161301",NA,"1","","cw","161306"
"4217",1614,"161401",0,"7","","cc","161406"
"4218",1615,"161501",NA,"1","","am","161506"
"4219",1617,"161701",10,"1","","kb","161706"
"4220",1618,"161801",6,"1","","m","161806"
"4221",1619,"161901",NA,"8","academic","ws","161906"
"4222",1620,"162001",NA,"6","","sl","162006"
"4223",1622,"162201",NA,"1","","kd","162206"
"4224",1623,"162301",NA,"1","","at","162306"
"4225",1625,"162501",8,"1","","mm","162506"
"4226",1627,"162701",NA,"1","","dh","162706"
"4227",1628,"162801",NA,"1","","bd","162806"
"4228",1632,"163201",0,"1","","pg","163206"
"4229",1634,"163401",1,"7","","cc","163406"
"4230",1635,"163501",NA,"1","","cb","163506"
"4231",1638,"163801",10,"6","","ja","163806"
"4232",1641,"164101",10,"1","","sj","164106"
"4233",1642,"164201",10,"5","","bj","164206"
"4234",1645,"164501",NA,"1","","sm","164506"
"4235",1647,"164701",NA,"1","","mu","164706"
"4236",1648,"164801",NA,"1","","ga","164806"
"4237",1649,"164901",NA,"1","","kr","164906"
"4238",1650,"165001",0,"1","","bk","165006"
